class_name,class_id,precision,recall,f1_score,support
Normal,0,0.9251330573625074,0.7229873370921527,0.8116633807201411,10819
Supraventricular,1,0.08108108108108109,0.18867924528301888,0.11342155009451796,159
Ventricular,2,0.17007251153592617,0.832258064516129,0.2824302134646962,620
Fusion,3,0.015873015873015872,0.09090909090909091,0.02702702702702703,22
Paced,4,0.9355432780847146,0.7455968688845401,0.8298393683637354,2044
Unknown,5,0.0136986301369863,0.043478260869565216,0.020833333333333332,23
