epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,learning_rate
1,0.7525799772857823,64.01971031805286,1.3485434102384668,53.92692146157077,1.967406031020864,28.167474899255517,0.001
2,0.48057477662932224,77.86620875018664,1.5681917730130648,87.90424191516169,1.3577989430439263,47.8041117410013,0.001
3,0.4063972261980703,82.72510079139913,2.1563059146467007,93.19613607727845,1.0934913616188229,61.79222730687795,0.001
4,0.37412834656002303,85.60698820367328,2.4377510010411867,88.1562368752625,0.9667212969123276,78.15039956287139,0.001
5,0.3070633328113253,87.2659399731223,1.3466369705764871,66.52666946661067,1.9912773179109962,36.62318147667509,0.001
6,0.31324810635764594,87.15394952964014,2.809942578994914,93.40613187736245,0.9911712895607063,76.94829588142886,0.001
7,0.28220412457840377,89.14887262953562,1.9914225794767078,92.48215035699286,1.0965747797137786,75.13831022471143,0.001
8,0.270996142708925,90.29714797670599,2.800055543058797,88.1142377152457,1.4566429067061457,58.192746397104024,0.001
9,0.26882991266242073,90.15230700313573,2.6332660356634543,93.70012599748004,1.1235374801967082,80.65022880950755,0.001
10,0.2574235221109537,90.33298491862028,3.067333404366907,93.78412431751364,1.0560515886701352,84.01748514445734,0.001
11,0.24647636951588686,91.09451993429894,2.2952898725083,87.0642587148257,1.1662252233668706,67.89153746328803,0.001
12,0.23938107476129403,91.27370464387039,3.105464529050024,90.88618227635448,1.4166946315804423,59.4016802131002,0.001
13,0.24376138489170368,91.09004031655965,2.404499459423517,86.2242755144897,1.2583187784202494,66.52551055255789,0.001
14,0.22013676699709928,90.99596834403464,3.706603497658905,89.16421671566569,1.35761266226136,62.33180793661635,0.001
15,0.2238560258032827,91.48872629535613,2.6248465486262975,85.17429651406972,1.3996792562533675,63.786626596543954,0.001
16,0.2222266375943805,91.62012841570852,3.1781842053720823,93.23813523729525,1.3047420611385434,69.5034492179496,0.0005
17,0.18794726103779066,92.83858444079439,3.3674014259717966,90.13019739605208,1.1249877531650805,71.4158868929718,0.0005
18,0.1684797445522068,93.21487233089444,3.548215115540906,82.23435531289374,1.444269366041802,60.958950891332556,0.0005
19,0.1735587500804304,93.37315215768254,3.5473820578895117,82.65434691306174,1.2999743267600974,61.04774264053002,0.0005
20,0.15164545100491847,93.49260863073017,3.7849438778663935,75.8504829903402,1.6370493972665878,50.782050406393004,0.0005
