class_name,class_id,precision,recall,f1_score,support
Normal,0,0.9462978657831882,0.9336374002280502,0.9399250019132165,13155
Supraventricular,1,0.0,0.0,0.0,284
Ventricular,2,0.40700808625336926,0.825136612021858,0.5451263537906137,732
Fusion,3,0.0,0.0,0.0,368
Paced,4,0.9630143319463708,1.0,0.9811587376354216,2083
Unknown,5,0.0,0.0,0.0,4
