epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,learning_rate
1,1.591640491924152,82.98185982481147,1.5102911073470784,83.24561403508773,1.495453851245274,83.8327729864055,0.001
2,1.373291011629677,87.42005043675304,0.8688292210904237,92.9093567251462,0.8686003854898648,93.0200263119427,0.001
3,0.6118469690658669,94.02312293653985,0.36274074004075235,95.6798245614035,0.363285922419245,95.79739804122204,0.001
4,0.35611076187269813,95.89683612928377,0.33209005088728166,96.4766081871345,0.33245357230444933,96.44057886273937,0.001
5,0.2973092128453734,96.54008747243644,0.24823006266884715,96.94444444444444,0.249566707690464,96.92296447887736,0.001
6,0.25901295455493506,96.94577439908386,0.22800153768926024,97.01754385964912,0.22567228144295862,97.06183306534132,0.001
7,0.22439627458551203,97.31247639584323,0.2611830948947746,97.60964912280701,0.2568976881208821,97.68308726794328,0.001
8,0.2098150485756336,97.47085267351339,0.18705240818106125,97.93859649122807,0.1819082671584927,98.07045753544803,0.001
9,0.1847559954573285,97.88384927451482,0.19569989648934838,97.8874269005848,0.20031916245678874,97.85850021926619,0.001
10,0.16717283257856,98.10435778419405,0.2645626403043203,97.42690058479532,0.2615479060283331,97.66846952199971,0.001
11,0.16306303632289565,98.29319103833924,0.13867760101489932,98.34795321637426,0.13437155402639758,98.50168104078351,0.001
12,0.14735159983485357,98.33461252634528,0.15350289346876544,98.20175438596492,0.15416824298902093,98.26048823271452,0.001
13,0.1336386726090477,98.5478113616705,0.12638503438401444,98.62573099415205,0.12808037319473017,98.61862300833212,0.001
14,0.1320373930606123,98.52466405954948,0.12619140895658007,98.53070175438596,0.12409747404124692,98.67709399210642,0.001
15,0.1231169180882135,98.69278656969165,0.14029064630027685,98.60380116959064,0.13664561530975539,98.67709399210642,0.001
16,0.1164350694427245,98.70984247651766,0.1442268746165193,98.41374269005848,0.1398185946604359,98.38473907323491,0.001
17,0.11734413154951688,98.72933494146169,0.10949830996377447,98.73538011695906,0.11002945901704168,98.78672708668323,0.001
18,0.10755035145584253,98.82070587088678,0.13437213536317102,98.43567251461988,0.12982056557992908,98.57476977050139,0.001
19,0.11977750990635608,98.78659405723475,0.10240086171532346,98.76461988304094,0.09569205545654921,98.94752229206256,0.001
20,0.10235608134793288,98.86212735889283,0.12515964614941139,98.36988304093568,0.12589514702906676,98.39935681917848,0.001
