class_name,class_id,precision,recall,f1_score,support
Normal,0,0.9281211696725618,0.9798502634254552,0.9532844746189469,10819
Supraventricular,1,0.25,0.050314465408805034,0.08376963350785341,159
Ventricular,2,0.5580952380952381,0.47258064516129034,0.5117903930131005,620
Fusion,3,0.017857142857142856,0.045454545454545456,0.02564102564102564,22
Paced,4,0.9842615012106537,0.7954990215264188,0.8798701298701299,2044
Unknown,5,0.0,0.0,0.0,23
