epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,learning_rate
1,1.60182634002882,83.99308016674875,1.4489864924243678,89.74864825368991,1.4999935925006866,79.32108626198082,0.001
2,1.4042420907720614,88.0632876416103,1.3042403952540638,93.3581762384919,1.6615374836386467,78.39456869009585,0.001
3,1.0196123911178085,93.7036725573349,0.8919440687538307,90.78620488090019,0.9504370692433143,91.07827476038338,0.001
4,0.4086601905965695,95.86011364865027,1.0162295108991806,72.59973695747479,1.0745925550558129,82.68370607028754,0.001
5,0.2887604661589398,96.83081247972706,0.6584107797140273,84.54625164401578,1.0336218197658962,81.43769968051119,0.001
6,0.2339823013665491,97.31135645550764,0.34361206217903956,95.33830191436505,0.6047171860629198,86.64536741214057,0.001
7,0.19746835402669033,97.79190043128821,0.5032705383148984,88.60149057430951,0.6369693536615494,84.185303514377,0.001
8,0.1707455379677955,98.11746897487956,0.5767125668282681,83.59637585854158,0.9791518408348974,84.52076677316293,0.001
9,0.15307097050785834,98.33131104410192,0.3501144944664056,95.95937454332895,0.7740753360320719,82.5479233226837,0.001
10,0.14082732567596581,98.45985655762323,0.5123335095644693,86.32178868917141,0.6400064420791305,84.43290734824281,0.001
11,0.1331252763584703,98.5595694325977,0.40278540967711224,93.62852550051147,0.48999194481543135,92.57188498402556,0.001
12,0.12031218030996088,98.7601965424861,0.44662326238353117,88.36036825953529,0.3785326192345546,91.1741214057508,0.001
13,0.38190274376087147,98.19435601100446,0.3652417830705086,93.88426128890838,0.7621452532024408,85.84664536741214,0.001
14,0.14811453454018922,98.77941830151732,0.4466453040471283,91.58263919333626,0.6409673323018514,84.10543130990415,0.001
15,0.12335932526528423,98.8959502156441,0.23950129921469732,97.25266695893615,0.6991254521381794,82.06070287539936,0.001
16,0.1162405410991963,98.84549309818715,0.31218733400036797,94.48341370743826,0.6908710399756626,81.8370607028754,0.001
17,0.10517951912267404,98.95962229243504,0.3957938255968495,92.4667543475084,1.6608813146547394,79.185303514377,0.001
18,0.10406848934867766,98.92478285419094,0.45047738276004234,89.24448341370744,0.6946690739227497,83.5702875399361,0.001
19,0.10022363210702566,98.98485085116351,0.3520677758676705,92.1014175069414,1.0559068069014015,83.6182108626198,0.001
20,0.0933400375509404,99.0148848496498,0.35420611939419094,91.83837498173315,0.6057962743679479,84.37699680511182,0.001
