epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,learning_rate
1,0.4713196897892309,76.56560242651626,1.4891870496185304,47.96926454445664,1.5152592025349074,56.4111931029444,0.001
2,0.25340407272177984,89.17447285395832,0.6976005114869555,85.6494694474936,1.2002210431410192,76.19639073573464,0.001
3,0.21573878338797103,90.94563482879174,1.3661303082763905,64.42005122575924,1.3819274551835712,68.12303645795281,0.001
4,0.1814981545158317,92.64858148685028,1.1784611996910621,69.5206732528357,1.492100801804129,64.17768685614087,0.001
5,0.15010535804916317,93.92030989243906,1.2305800852482207,67.47164288327845,1.6604638989736265,58.96836414115584,0.001
6,0.15902685798016475,93.96416259608006,0.9473086624182151,75.70435418953531,1.692521738801282,70.00073062029664,0.001
7,0.16474582788273867,93.5962871377584,1.1936927481160595,65.75923893157702,1.8593436123729274,68.45912179440344,0.001
8,0.13350887323743485,94.60733558281461,1.3249217255990822,68.40834248079034,1.9340206452892337,69.42354058595748,0.0005
9,0.09808620912496897,96.14218021024935,1.1050126150010533,78.62422246615441,1.6974284293311734,69.63542047198071,0.0005
10,0.08333972679191237,96.9327470064439,1.4886273179642822,68.85473838272961,1.5871968681365904,71.54233944618981,0.0005
11,0.08060715130068628,96.58557976928606,1.4153410578358736,68.25466520307354,1.8546928730951056,70.00803682326296,0.0005
12,0.08161607775557714,96.6611038700011,1.1847062328288813,73.57482619831687,1.753977021555771,71.75421933221305,0.0005
13,0.07608197990729418,96.97416344877152,1.528523426350896,67.68386388583974,1.9104265315946687,63.578578212902755,0.0005
14,0.07176688560301914,97.1690643538426,1.321675466523026,70.83790706183682,1.7759592338230148,62.13195002557171,0.00025
15,0.054374812192367776,97.81101920992046,1.392566634909327,71.23307720453714,1.8222066343810397,65.80697011762987,0.00025
16,0.05158429744968079,97.86339882815831,1.2367566137610788,72.26491035492133,1.9274705465731616,71.19894790677284,0.00025
17,0.04657007273170801,97.9730305872608,1.6833749134896427,69.98170508598609,2.0300849100540037,67.33396653759041,0.00025
18,0.046683421281838916,98.1618408390484,1.3553053265552981,75.1335528723015,2.0833530561120885,70.29297873894937,0.00025
19,0.04501797903284854,98.16305896970509,1.9161504488611767,63.87120380534211,2.253678146013435,63.29363629721634,0.00025
20,0.0467404608905282,98.0777898237365,1.7492158414022023,68.85473838272961,2.160534144965355,70.0299554321619,0.000125
